Rank,Player (Team / Bye),POS,AVG
1,Jahmyr Gibbs   DET (6),RB1,1.3
2,Bijan Robinson   ATL (11),RB2,1.7
3,Ja'Marr Chase   CIN (6),WR1,3.0
4,Puka Nacua   LAR (11),WR2,4.0
5,Jaxon Smith-Njigba   SEA (11),WR3,5.3
6,Christian McCaffrey   SF (8),RB3,6.0
7,Jonathan Taylor   IND (13),RB4,7.0
8,Amon-Ra St. Brown   DET (6),WR4,7.7
9,Justin Jefferson   MIN (6),WR5,10.3
10,James Cook III   BUF (7),RB5,11.0
11,CeeDee Lamb   DAL (14),WR6,11.3
12,Ashton Jeanty   LV (13),RB6,12.0
13,Saquon Barkley   PHI (10),RB7,14.7
14,De'Von Achane   MIA (6),RB8,15.3
15,Omarion Hampton   LAC (7),RB9,16.3
16,Brock Bowers   LV (13),TE1,17.3
17,Chase Brown   CIN (6),RB10,17.7
18,Drake London   ATL (11),WR7,18.0
19,Trey McBride   ARI (14),TE2,18.3
20,Kenneth Walker III   KC (5),RB11,18.3
21,A.J. Brown   NE (11),WR8,20.7
22,Derrick Henry   BAL (13),RB12,22.3
23,Nico Collins   HOU (8),WR9,23.3
24,Josh Allen   BUF (7),QB1,23.7
25,George Pickens   DAL (14),WR10,23.7
26,Jeremiyah Love   ARI (14),RB13,25.7
27,Chris Olave   NO (8),WR11,28.3
28,DeVonta Smith   PHI (10),WR12,29.0
29,Rashee Rice   KC (5),WR13,30.0
30,Kyren Williams   LAR (11),RB14,31.0
31,Breece Hall   NYJ (13),RB15,32.7
32,Javonte Williams   DAL (14),RB16,33.7
33,Travis Etienne Jr.   NO (8),RB17,35.0
34,Colston Loveland   CHI (10),TE3,36.0
35,Malik Nabers   NYG (8),WR14,36.7
36,Zay Flowers   BAL (13),WR15,37.0
37,Tee Higgins   CIN (6),WR16,38.0
38,Emeka Egbuka   TB (10),WR17,38.0
39,Josh Jacobs   GB (11),RB18,39.3
40,Cam Skattebo   NYG (8),RB19,41.0
