year,team,conference,sp_defense,sos_z,sos_score
2015,Ohio State,Big Ten,6,-1.5710179152097643,34.289820847902355
2015,Alabama,SEC,1,-1.7057608079642872,32.942391920357124
2015,Ole Miss,SEC,12,-1.409326443904337,35.90673556095663
2015,Clemson,ACC,11,-1.4362750224552416,35.637249775447586
2015,Florida State,ACC,7,-1.5440693366588598,34.5593066334114
2015,Stanford,ACC,45,-0.5200233517244864,44.79976648275513
2015,Oklahoma,SEC,16,-1.3015321297007187,36.98467870299281
2015,Notre Dame,FBS Independents,29,-0.9512006085389595,40.487993914610406
2015,North Carolina,ACC,51,-0.3583318804190591,46.41668119580941
2015,LSU,SEC,33,-0.8434062943353412,41.56593705664659
2015,Michigan,Big Ten,10,-1.4632236010061461,35.36776398993854
2015,Baylor,Big 12,44,-0.546971930275391,44.53028069724609
2015,Tennessee,SEC,13,-1.3823778653534324,36.176221346465674
2015,Arkansas,SEC,67,0.07284537639541389,50.728453763954136
2015,TCU,Big 12,32,-0.8703548728862458,41.29645127113754
2015,UCLA,Big Ten,37,-0.7356119801317229,42.64388019868277
2015,USC,Big Ten,41,-0.6278176659281047,43.721823340718956
2015,Georgia,SEC,2,-1.6788122294133825,33.21187770586617
2015,Oregon,Big Ten,82,0.47707405465898234,54.77074054658982
2015,Michigan State,Big Ten,25,-1.0589949227425777,39.41005077257422
2015,Mississippi State,SEC,42,-0.6008690873772001,43.991309126227996
2015,Wisconsin,Big Ten,3,-1.651863650862478,33.48136349137522
2015,Auburn,SEC,40,-0.6547662444790092,43.45233755520991
2015,Texas A&M,SEC,14,-1.355429286802528,36.44570713197472
2015,Florida,SEC,9,-1.4901721795570506,35.09827820442949
2015,Louisville,ACC,21,-1.1667892369461959,38.33210763053804
2015,West Virginia,Big 12,20,-1.1937378154971006,38.06262184502899
2015,Navy,American Athletic,65,0.01894821929360477,50.18948219293605
2015,California,ACC,78,0.36927974045536405,53.69279740455364
2015,Boise State,Mountain West,22,-1.1398406583952914,38.60159341604709
2015,Virginia Tech,ACC,18,-1.2476349725989095,37.523650274010905
2015,Penn State,Big Ten,15,-1.3284807082516232,36.71519291748377
2015,Nebraska,Big Ten,48,-0.43917761607177275,45.608223839282275
2015,Pittsburgh,ACC,35,-0.7895091372335321,42.10490862766468
2015,Utah,Big 12,19,-1.220686394048005,37.79313605951995
2015,Miami,ACC,54,-0.2774861447663454,47.225138552336546
2015,Western Kentucky,Conference USA,80,0.4231768975571732,54.23176897557173
2015,Arizona State,Big 12,61,-0.08884609491001348,49.111539050899864
2015,Oklahoma State,Big 12,73,0.23453684770084127,52.345368477008414
2015,Washington,Big Ten,27,-1.0050977656407685,39.94902234359232
2015,NC State,ACC,47,-0.46612619462267735,45.33873805377323
2015,Iowa,Big Ten,28,-0.978149187089864,40.21850812910136
2015,Georgia Tech,ACC,52,-0.3313833018681545,46.68616698131846
2015,BYU,Big 12,46,-0.4930747731735819,45.06925226826418
2015,Louisiana Tech,Conference USA,64,-0.008000359257299791,49.919996407427
2015,Minnesota,Big Ten,35,-0.7895091372335321,42.10490862766468
2015,San Diego State,Mountain West,37,-0.7356119801317229,42.64388019868277
2015,Memphis,American Athletic,82,0.47707405465898234,54.77074054658982
2015,App State,Sun Belt,49,-0.4122290375208682,45.877709624791315
2015,Toledo,Mid-American,33,-0.8434062943353412,41.56593705664659
2015,Bowling Green,Mid-American,92,0.7465598401680279,57.46559840168028
2015,Georgia Southern,Sun Belt,56,-0.22358898766453628,47.76411012335464
2015,Houston,Big 12,69,0.126742533497223,51.26742533497223
2015,Temple,American Athletic,25,-1.0589949227425777,39.41005077257422
2015,Cincinnati,Big 12,68,0.09979395494631846,50.99793954946318
2015,Western Michigan,Mid-American,95,0.8274055758207416,58.27405575820742
2015,Boston College,ACC,5,-1.597966493760669,34.02033506239331
2015,Air Force,Mountain West,74,0.2614854262517458,52.61485426251746
2015,Arizona,Big 12,87,0.6118169474135051,56.11816947413505
2015,Texas Tech,Big 12,121,1.5280686181442602,65.2806861814426
2015,Washington State,Pac-12,77,0.3423311619044595,53.4233116190446
2015,Texas,SEC,60,-0.11579467346091804,48.84205326539082
2015,South Florida,American Athletic,59,-0.14274325201182259,48.572567479881776
2015,Marshall,Sun Belt,24,-1.0859435012934822,39.140564987065176
2015,Missouri,SEC,3,-1.651863650862478,33.48136349137522
2015,Duke,ACC,31,-0.8973034514371503,41.026965485628494
2015,South Carolina,SEC,72,0.2075882691499367,52.075882691499366
2015,Illinois,Big Ten,22,-1.1398406583952914,38.60159341604709
2015,Kansas State,Big 12,84,0.5309712117607914,55.309712117607916
2015,Southern Miss,Sun Belt,86,0.5848683688626005,55.848683688626004
2015,Virginia,ACC,84,0.5309712117607914,55.309712117607916
2015,Arkansas State,Sun Belt,69,0.126742533497223,51.26742533497223
2015,Colorado State,Mountain West,81,0.45012547610807774,54.50125476108078
2015,Indiana,Big Ten,109,1.2046856755334054,62.046856755334055
2015,Northwestern,Big Ten,7,-1.5440693366588598,34.5593066334114
2015,Utah State,Mountain West,39,-0.6817148230299138,43.18285176970086
2015,Iowa State,Big 12,104,1.0699427827788826,60.699427827788824
2015,Kentucky,SEC,61,-0.08884609491001348,49.111539050899864
2015,Ohio,Mid-American,58,-0.16969183056272716,48.30308169437273
2015,East Carolina,American Athletic,66,0.045896797844509334,50.458967978445095
2015,Akron,Mid-American,55,-0.2505375662154408,47.49462433784559
2015,Northern Illinois,Mid-American,52,-0.3313833018681545,46.68616698131846
2015,Vanderbilt,SEC,16,-1.3015321297007187,36.98467870299281
2015,Maryland,Big Ten,56,-0.22358898766453628,47.76411012335464
2015,Central Michigan,Mid-American,61,-0.08884609491001348,49.111539050899864
2015,Syracuse,ACC,101,0.989097047126169,59.89097047126169
2015,Colorado,Big 12,71,0.18063969059903215,51.80639690599032
2015,Wake Forest,ACC,50,-0.38528045896996366,46.14719541030036
2015,San José State,Mountain West,91,0.7196112616171234,57.196112616171234
2015,Middle Tennessee,Conference USA,92,0.7465598401680279,57.46559840168028
2015,UConn,FBS Independents,43,-0.5739205088262955,44.260794911737044
2015,Georgia State,Sun Belt,88,0.6387655259644097,56.3876552596441
2015,Troy,Sun Belt,88,0.6387655259644097,56.3876552596441
2015,Nevada,Mountain West,98,0.9082513114734553,59.08251311473455
2015,Louisiana,Sun Belt,92,0.7465598401680279,57.46559840168028
2015,Purdue,Big Ten,103,1.042994204227978,60.42994204227978
2015,Tulsa,American Athletic,124,1.608914353796974,66.08914353796973
2015,New Mexico,Mountain West,106,1.1238399398806918,61.23839939880692
2015,Massachusetts,Mid-American,75,0.28843400480265036,52.8843400480265
2015,Florida Atlantic,American Athletic,75,0.28843400480265036,52.8843400480265
2015,Oregon State,Pac-12,108,1.177737096982501,61.77737096982501
2015,Rutgers,Big Ten,112,1.2855314111861191,62.85531411186119
2015,Buffalo,Mid-American,95,0.8274055758207416,58.27405575820742
2015,South Alabama,Sun Belt,102,1.0160456256770736,60.160456256770736
2015,Kent State,Mid-American,30,-0.9242520299880549,40.75747970011945
2015,Idaho,Big Sky,127,1.6897600894496876,66.89760089449688
2015,Fresno State,Mountain West,99,0.9351998900243599,59.3519989002436
2015,Miami (OH),Mid-American,78,0.36927974045536405,53.69279740455364
2015,Tulane,American Athletic,97,0.8813027329225507,58.813027329225505
2015,Rice,American Athletic,116,1.3933257253897373,63.933257253897374
2015,UL Monroe,Sun Belt,100,0.9621484685752644,59.62148468575265
2015,Old Dominion,Sun Belt,114,1.3394285682879283,63.394285682879286
2015,Ball State,Mid-American,113,1.3124799897370236,63.12479989737024
2015,UCF,Big 12,104,1.0699427827788826,60.699427827788824
2015,Texas State,Sun Belt,122,1.5550171966951647,65.55017196695165
2015,UNLV,Mountain West,120,1.5011200395933557,65.01120039593356
2015,Hawai'i,Mountain West,107,1.1507885184315962,61.50788518431597
2015,Florida International,Conference USA,110,1.23163425408431,62.316342540843095
